unified_id,year,month,revenue
AIR11098028,2021,5,209
AIR11098028,2021,4,876
AIR11098028,2021,3,627
AIR11098028,2021,2,1463
AIR11098028,2021,1,1045
AIR11098028,2020,12,836
AIR11098028,2020,11,2020
AIR11098028,2020,10,3005
AIR11098028,2020,9,2607
AIR11098028,2020,8,1880
AIR11098028,2020,7,2109
AIR11098028,2020,6,3383
AIR11098028,2020,5,1353
AIR11098028,2020,4,4045
AIR11098028,2020,3,2481
AIR11098028,2020,2,835
AIR11098028,2020,1,1671
AIR11098161,2023,5,1504
AIR11098161,2023,4,3153
AIR11098161,2023,3,3591
AIR11098161,2023,2,2741
AIR11098161,2023,1,1510
AIR11098161,2022,12,2772
AIR11098161,2022,11,2616
AIR11098161,2022,10,3153
AIR11098161,2022,9,1848
AIR11098161,2022,8,775
AIR11098161,2022,7,2431
AIR11098161,2022,6,3591
AIR11098161,2022,5,1089
AIR11098161,2022,4,2320
AIR11098161,2022,3,2506
AIR11098161,2022,2,1231
AIR11098161,2022,1,2493
AIR11098161,2021,12,1998
AIR11098161,2021,11,2615
AIR11098161,2021,10,4801
AIR11098161,2021,9,3186
AIR11098161,2021,8,2296
AIR11098161,2021,7,2198
AIR11098161,2021,6,209
AIR11098161,2021,5,209
AIR11098161,2021,4,876
AIR11098161,2021,3,627
AIR11098161,2021,2,1463
AIR11098161,2021,1,1045
AIR11098161,2020,12,836
AIR11098161,2020,11,2020
AIR11098161,2020,10,3005
AIR11098161,2020,9,2607
AIR11098161,2020,8,1880
AIR11098161,2020,7,2109
AIR11098161,2020,6,3174
AIR11098161,2020,5,1353
AIR11098161,2020,4,3836
AIR11098161,2020,3,2481
AIR11098161,2020,2,835
AIR11098161,2020,1,1671
AIR11128865,2023,11,4332
AIR11128865,2023,10,7161
AIR11128865,2023,9,7326
AIR11128865,2023,8,0
AIR11128865,2023,7,6925
AIR11128865,2023,6,7274
AIR11128865,2023,5,2120
AIR11128865,2023,4,1504
AIR11128865,2023,3,3277
AIR11128865,2023,2,5175
AIR11128865,2023,1,7174
AIR11128865,2022,12,8846
AIR11128865,2022,11,5230
AIR11128865,2022,10,3938
AIR11128865,2022,9,4542
AIR11128865,2022,8,3552
AIR11128865,2022,7,5841
AIR11128865,2022,6,4748
AIR11128865,2022,5,5457
AIR11128865,2022,4,5058
AIR11128865,2022,3,5888
AIR11128865,2022,2,6703
AIR11128865,2022,1,8990
AIR11128865,2021,12,8990
AIR11128865,2021,11,6236
AIR11128865,2021,10,5049
AIR11128865,2021,9,5894
AIR11128865,2021,8,6178
AIR11128865,2021,7,6340
AIR11128865,2021,6,5070
AIR11128865,2021,5,4868
AIR11128865,2021,4,4817
AIR11128865,2021,3,3348
AIR11128865,2021,2,4110
AIR11128865,2021,1,4745
AIR11128865,2020,12,7026
AIR11128865,2020,11,2841
AIR11128865,2020,10,2333
AIR11128865,2020,9,1688
AIR11128865,2020,8,3502
AIR11128865,2020,7,3263
AIR11128865,2020,6,3210
AIR11128865,2020,5,2363
AIR11128865,2020,4,3193
AIR11128865,2020,3,3711
AIR11128865,2020,2,4724
AIR11128865,2020,1,5320
AIR11209785,2023,12,8651
AIR11209785,2023,11,3723
AIR11209785,2023,10,2754
AIR11209785,2023,9,1840
